
2022-12-08 17:30:09: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=127, n_clusters=10, nmi=0.5448, ari=0.2640, ami=0.5447, time_cost=6.5610s

2022-12-08 17:30:15: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=128, n_clusters=10, nmi=0.5409, ari=0.2622, ami=0.5408, time_cost=6.5180s

2022-12-08 17:30:22: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=129, n_clusters=10, nmi=0.5402, ari=0.2625, ami=0.5400, time_cost=6.5677s

2022-12-08 17:30:29: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=130, n_clusters=10, nmi=0.5400, ari=0.2624, ami=0.5399, time_cost=6.5650s

2022-12-08 17:30:35: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=131, n_clusters=10, nmi=0.5400, ari=0.2623, ami=0.5399, time_cost=6.5704s

2022-12-08 17:30:42: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=132, n_clusters=10, nmi=0.5399, ari=0.2619, ami=0.5397, time_cost=6.6003s

2022-12-08 17:30:49: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=133, n_clusters=10, nmi=0.5396, ari=0.2615, ami=0.5395, time_cost=6.5679s

2022-12-08 17:30:55: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=134, n_clusters=10, nmi=0.5374, ari=0.2567, ami=0.5373, time_cost=6.5305s

2022-12-08 17:31:02: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=135, n_clusters=10, nmi=0.5375, ari=0.2568, ami=0.5373, time_cost=6.5609s

2022-12-08 17:31:09: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=136, n_clusters=10, nmi=0.5371, ari=0.2564, ami=0.5369, time_cost=6.5641s

2022-12-08 17:31:15: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=137, n_clusters=10, nmi=0.5505, ari=0.3146, ami=0.5504, time_cost=6.5502s

2022-12-08 17:31:22: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=138, n_clusters=10, nmi=0.5504, ari=0.3142, ami=0.5503, time_cost=6.5789s

2022-12-08 17:31:29: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=139, n_clusters=10, nmi=0.5367, ari=0.2556, ami=0.5366, time_cost=6.5793s

2022-12-08 17:31:35: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=140, n_clusters=10, nmi=0.5367, ari=0.2556, ami=0.5366, time_cost=6.5443s

